Imperfective	Perfective
ущипывать	ущипнуть
выщипывать	выщипнуть
захлопывать	захлопнуть
нахлопывать	нахлопнуть
прихлопывать	прихлопнуть
пропинать	пропнуть
притопывать	притопнуть
зачерпывать	зачерпнуть
перечерпывать	перечерпнуть
дочерпывать	дочерпнуть
почерпать	почерпнуть
счерпывать	счерпнуть
отчерпывать	отчерпнуть
учерпывать	учерпнуть
вычерпывать	вычерпнуть
подколупывать	подколупнуть
сколупывать	сколупнуть
всколупывать	всколупнуть
отколупывать	отколупнуть
уколупывать	уколупнуть
выколупывать	выколупнуть
обертывать	обернуть
обертывать	обернуть
оборачивать	обернуть
оборачивать	обернуть
завертывать	завернуть
завертывать	завернуть
навертывать	навернуть
наворачивать	навернуть
обвертывать	обвернуть
ввертывать	ввернуть
надвертывать	надвернуть
подвертывать	подвернуть
подвертывать	подвернуть
перевертывать	перевернуть
развертывать	развернуть
привертывать	привернуть
довертывать	довернуть
недовертывать	недовернуть
поворачивать	повернуть
провертывать	провернуть
провертывать	провернуть
свертывать	свернуть
свертывать	свернуть
отвертывать	отвернуть
отворачивать	отвернуть
увертывать	увернуть
вывертывать	вывернуть
вывертывать	вывернуть
задергивать	задернуть
надергивать	надернуть
обдергивать	обдернуть
вдергивать	вдернуть
поддергивать	поддернуть
передергивать	передернуть
раздергивать	раздернуть
вздергивать	вздернуть
одергивать	одернуть
продергивать	продернуть
сдергивать	сдернуть
отдергивать	отдернуть
выдергивать	выдернуть
прихварывать	прихворнуть
подковыривать	подковырнуть
проковыривать	проковырнуть
сковыривать	сковырнуть
отковыривать	отковырнуть
выковыривать	выковырнуть
перекувыркивать	перекувырнуть
выкувыркивать	выкувырнуть
зашвыривать	зашвырнуть
подшвыривать	подшвырнуть
перешвыривать	перешвырнуть
дошвыривать	дошвырнуть
расшвыривать	расшвырнуть
отшвыривать	отшвырнуть
ушвыривать	ушвырнуть
вышвыривать	вышвырнуть
подныривать	поднырнуть
доныривать	донырнуть
проныривать	пронырнуть
уныривать	унырнуть
вышныривать	вышнырнуть
выныривать	вынырнуть
загасать	загаснуть
погасать	погаснуть
угасать	угаснуть
ужасать	ужаснуть
засыпать	заснуть
взблескивать	взблеснуть
проблескивать	проблеснуть
заплескивать	заплеснуть
вплескивать	вплеснуть
подплескивать	подплеснуть
переплескивать	переплеснуть
приплескивать	приплеснуть
оплескивать	оплеснуть
доплескивать	доплеснуть
сплескивать	сплеснуть
расплескивать	расплеснуть
всплескивать	всплеснуть
отплескивать	отплеснуть
выплескивать	выплеснуть
воскресать	воскреснуть
зависать	зависнуть
нависать	нависнуть
обвисать	обвиснуть
перевисать	перевиснуть
развисать	развиснуть
повисать	повиснуть
провисать	провиснуть
свисать	свиснуть
отвисать	отвиснуть
закисать	закиснуть
накисать	накиснуть
подкисать	подкиснуть
перекисать	перекиснуть
окисать	окиснуть
докисать	докиснуть
прокисать	прокиснуть
скисать	скиснуть
раскисать	раскиснуть
вскисать	вскиснуть
укисать	укиснуть
выкисать	выкиснуть
затискивать	затиснуть
обтискивать	обтиснуть
втискивать	втиснуть
подтискивать	подтиснуть
притискивать	притиснуть
протискивать	протиснуть
стискивать	стиснуть
растискивать	растиснуть
оттискивать	оттиснуть
вытиснять	вытиснуть
заполаскивать	заполоснуть
ополаскивать	ополоснуть
прополаскивать	прополоснуть
споласкивать	сполоснуть
всполаскивать	всполоснуть
выполаскивать	выполоснуть
впрыскивать	впрыснуть
перепрыскивать	перепрыснуть
опрыскивать	опрыснуть
спрыскивать	спрыснуть
вспрыскивать	вспрыснуть
выпрыскивать	выпрыснуть
приплющивать	приплюснуть
сплющивать	сплюснуть
расплющивать	расплюснуть
вметывать	вметнуть
подметывать	подметнуть
переметывать	переметнуть
взметывать	взметнуть
приметывать	приметнуть
дометывать	дометнуть
прометывать	прометнуть
выметывать	выметнуть
улепетывать	улепетнуть
взбалтывать	взболтнуть
сбалтывать	сболтнуть
выбалтывать	выболтнуть
сглатывать	сглотнуть
отглатывать	отглотнуть
прихвастывать	прихвастнуть
захлестывать	захлестнуть
нахлестывать	нахлестнуть
подхлестывать	подхлестнуть
перехлестывать	перехлестнуть
прихлестывать	прихлестнуть
схлестывать	схлестнуть
расхлестывать	расхлестнуть
ухлестывать	ухлестнуть
выхлестывать	выхлестнуть
присвистывать	присвистнуть
обдувать	обдунуть
вдувать	вдунуть
сдувать	сдунуть
окунать	окунуть
засовывать	засунуть
насовывать	насунуть
всовывать	всунуть
подсовывать	подсунуть
пересовывать	пересунуть
просовывать	просунуть
ссовывать	ссунуть
высовывать	высунуть
обмахивать	обмахнуть
подмахивать	подмахнуть
перемахивать	перемахнуть
размахивать	размахнуть
взмахивать	взмахнуть
домахивать	домахнуть
смахивать	смахнуть
отмахивать	отмахнуть
вымахивать	вымахнуть
запахивать	запахнуть
опахивать	опахнуть
пропахивать	пропахнуть
распахивать	распахнуть
отпахивать	отпахнуть
свихивать	свихнуть
вывихивать	вывихнуть
запихивать	запихнуть
впихивать	впихнуть
подпихивать	подпихнуть
перепихивать	перепихнуть
припихивать	припихнуть
пропихивать	пропихнуть
спихивать	спихнуть
распихивать	распихнуть
отпихивать	отпихнуть
упихивать	упихнуть
выпихивать	выпихнуть
затихать	затихнуть
перетихать	перетихнуть
притихать	притихнуть
стихать	стихнуть
утихать	утихнуть
приутихать	приутихнуть
вычихивать	вычихнуть
вдыхать	вдохнуть
передыхать	передохнуть
вздыхать	вздохнуть
издыхать	издохнуть
воздыхать	воздохнуть
подыхать	подохнуть
продыхать	продохнуть
сдыхать	сдохнуть
отдыхать	отдохнуть
выдыхать	выдохнуть
засыхать	засохнуть
насыхать	насохнуть
обсыхать	обсохнуть
подсыхать	подсохнуть
пересыхать	пересохнуть
присыхать	присохнуть
досыхать	досохнуть
просыхать	просохнуть
иссыхать	иссохнуть
отсыхать	отсохнуть
усыхать	усохнуть
высыхать	высохнуть
запархивать	запорхнуть
впархивать	впорхнуть
перепархивать	перепорхнуть
припархивать	припорхнуть
пропархивать	пропорхнуть
спархивать	спорхнуть
вспархивать	вспорхнуть
отпархивать	отпорхнуть
упархивать	упорхнуть
выпархивать	выпорхнуть
забухать	забухнуть
набухать	набухнуть
вбухивать	вбухнуть
разбухать	разбухнуть
взбухать	взбухнуть
выбухивать	выбухнуть
запухать	запухнуть
напухать	напухнуть
подпухать	подпухнуть
припухать	припухнуть
опухать	опухнуть
распухать	распухнуть
вспухать	вспухнуть
затухать	затухнуть
притухать	притухнуть
потухать	потухнуть
протухать	протухнуть
всколыхивать	всколыхнуть
вспыхивать	вспыхнуть
обтряхивать	обтряхнуть
перетряхивать	перетряхнуть
отряхивать	отряхнуть
протряхивать	протряхнуть
стряхивать	стряхнуть
растряхивать	растряхнуть
встряхивать	встряхнуть
оттряхивать	оттряхнуть
вытряхивать	вытряхнуть
вынимать	вынуть
застывать	застынуть
настывать	настынуть
подстывать	подстынуть
перестывать	перестынуть
пристывать	пристынуть
остывать	остынуть
приостывать	приостынуть
простывать	простынуть
свиливать	свильнуть
отвиливать	отвильнуть
увиливать	увильнуть
проклевывать	проклюнуть
склевывать	склюнуть
выклевывать	выклюнуть
переплевывать	переплюнуть
доплевывать	доплюнуть
сплевывать	сплюнуть
отплевывать	отплюнуть
выплевывать	выплюнуть
увядать	увянуть
заглядывать	заглянуть
взглядывать	взглянуть
оглядывать	оглянуть
проглядывать	проглянуть
выглядывать	выглянуть
подкашливать	подкашлянуть
прокашливать	прокашлянуть
откашливать	откашлянуть
выкашливать	выкашлянуть
поминать	помянуть
вспоминать	вспомянуть
упоминать	упомянуть
отпрядывать	отпрянуть
затягивать	затянуть
натягивать	натянуть
обтягивать	обтянуть
втягивать	втянуть
подтягивать	подтянуть
перетягивать	перетянуть
притягивать	притянуть
дотягивать	дотянуть
недотягивать	недотянуть
протягивать	протянуть
стягивать	стянуть
растягивать	растянуть
оттягивать	оттянуть
утягивать	утянуть
вытягивать	вытянуть
забывать	забыть
подзабывать	подзабыть
позабывать	позабыть
избывать	избыть
прибывать	прибыть
добывать	добыть
раздобывать	раздобыть
сбывать	сбыть
отбывать	отбыть
убывать	убыть
выбывать	выбыть
подвывать	подвыть
взвывать	взвыть
заплывать	заплыть
наплывать	наплыть
вплывать	вплыть
подплывать	подплыть
переплывать	переплыть
приплывать	приплыть
оплывать	оплыть
оплывать	оплыть
доплывать	доплыть
проплывать	проплыть
сплывать	сплыть
всплывать	всплыть
отплывать	отплыть
уплывать	уплыть
выплывать	выплыть
прослывать	прослыть
замывать	замыть
намывать	намыть
обмывать	обмыть
подмывать	подмыть
перемывать	перемыть
размывать	размыть
взмывать	взмыть
омывать	омыть
домывать	домыть
промывать	промыть
смывать	смыть
отмывать	отмыть
умывать	умыть
вымывать	вымыть
изнывать	изныть
зарывать	зарыть
нарывать	нарыть
обрывать	обрыть
врывать	врыть
подрывать	подрыть
перерывать	перерыть
разрывать	разрыть
взрывать	взрыть
изрывать	изрыть
закрывать	закрыть
накрывать	накрыть
перекрывать	перекрыть
прикрывать	прикрыть
докрывать	докрыть
покрывать	покрыть
прокрывать	прокрыть
скрывать	скрыть
раскрывать	раскрыть
вскрывать	вскрыть
открывать	открыть
приоткрывать	приоткрыть
укрывать	укрыть
выкрывать	выкрыть
дорывать	дорыть
прорывать	прорыть
срывать	срыть
отрывать	отрыть
вырывать	вырыть
застывать	застыть
настывать	настыть
подстывать	подстыть
перестывать	перестыть
пристывать	пристыть
остывать	остыть
приостывать	приостыть
простывать	простыть
выстывать	выстыть
облаивать	облаять
размаивать	размаять
смаивать	смаять
умаивать	умаять
запаивать	запаять
напаивать	напаять
впаивать	впаять
подпаивать	подпаять
перепаивать	перепаять
припаивать	припаять
опаивать	опаять
допаивать	допаять
пропаивать	пропаять
спаивать	спаять
распаивать	распаять
отпаивать	отпаять
упаивать	упаять
выпаивать	выпаять
натаивать	натаять
обтаивать	обтаять
подтаивать	подтаять
дотаивать	дотаять
протаивать	протаять
стаивать	стаять
растаивать	растаять
истаивать	истаять
оттаивать	оттаять
вытаивать	вытаять
захаивать	захаять
обхаивать	обхаять
охаивать	охаять
расхаивать	расхаять
завевать	завеять
навеивать	навеять
навевать	навеять
обвеивать	обвеять
обвевать	обвеять
подвеивать	подвеять
перевеивать	перевеять
развеивать	развеять
взвевать	взвеять
овевать	овеять
довеивать	довеять
провеивать	провеять
свевать	свеять
отвеивать	отвеять
отвевать	отвеять
вывеивать	вывеять
засмеивать	засмеять
обсмеивать	обсмеять
пересмеивать	пересмеять
осмеивать	осмеять
просмеивать	просмеять
высмеивать	высмеять
засевать	засеять
насевать	насеять
обсевать	обсеять
всевать	всеять
подсевать	подсеять
пересевать	пересеять
присевать	присеять
досевать	досеять
просеивать	просеять
рассевать	рассеять
рассеивать	рассеять
отсеивать	отсеять
отсеивать	отсеять
усеивать	усеять
высевать	высеять
затевать	затеять
наваливать	навалять
обваливать	обвалять
переваливать	перевалять
разваливать	развалять
уваливать	увалять
вываливать	вывалять
настреливать	настрелять
обстреливать	обстрелять
пристреливать	пристрелять
достреливать	дострелять
простреливать	прострелять
расстреливать	расстрелять
исстреливать	исстрелять
отстреливать	отстрелять
выстреливать	выстрелять
загуливать	загулять
нагуливать	нагулять
подгуливать	подгулять
перегуливать	перегулять
разгуливать	разгулять
пригуливать	пригулять
догуливать	догулять
прогуливать	прогулять
отгуливать	отгулять
выгуливать	выгулять
прокашливать	прокашлять
откашливать	откашлять
выкашливать	выкашлять
заминать	замять
наминать	намять
обминать	обмять
вминать	вмять
подминать	подмять
переминать	перемять
разминать	размять
изминать	измять
приминать	примять
доминать	домять
проминать	промять
сминать	смять
отминать	отмять
уминать	умять
выминать	вымять
занимать	занять
перезанимать	перезанять
призанимать	призанять
нанимать	нанять
поднанимать	поднанять
принанимать	принанять
обнимать	обнять
внимать	внять
подравнивать	подравнять
приравнивать	приравнять
сравнивать	сравнять
уравнивать	уравнять
заравнивать	заровнять
обравнивать	обровнять
подравнивать	подровнять
разравнивать	разровнять
приравнивать	прировнять
сравнивать	сровнять
уравнивать	уровнять
выравнивать	выровнять
ободневать	ободнять
поднимать	поднять
приподнимать	приподнять
наменивать	наменять
обменивать	обменять
разменивать	разменять
променивать	променять
выменивать	выменять
перенимать	перенять
разнимать	разнять
принимать	принять
предпринимать	предпринять
воспринимать	воспринять
наганивать	нагонять
донимать	донять
понимать	понять
недопонимать	недопонять
пронимать	пронять
снимать	снять
заснимать	заснять
переснимать	переснять
отнимать	отнять
унимать	унять
настаивать	настоять
настаивать	настоять
перестаивать	перестоять
достаивать	достоять
простаивать	простоять
отстаивать	отстоять
отстаивать	отстоять
устаивать	устоять
выстаивать	выстоять
пропинать	пропять
распинать	распять
затеривать	затерять
растеривать	растерять
застревать	застрять
встревать	встрять
наковыривать	наковырять
обковыривать	обковырять
подковыривать	подковырять
перековыривать	перековырять
проковыривать	проковырять
сковыривать	сковырять
расковыривать	расковырять
исковыривать	исковырять
отковыривать	отковырять
выковыривать	выковырять
зашвыривать	зашвырять
нашвыривать	нашвырять
подшвыривать	подшвырять
дошвыривать	дошвырять
расшвыривать	расшвырять
отшвыривать	отшвырять
вышвыривать	вышвырять
обшныривать	обшнырять
вышныривать	вышнырять
учуивать	учуять
изымать	изъять
зажигать	зажечь
нажигать	нажечь
обжигать	обжечь
поджигать	поджечь
пережигать	пережечь
разжигать	разжечь
изжигать	изжечь
возжигать	возжечь
прижигать	прижечь
ожигать	ожечь
дожигать	дожечь
прожигать	прожечь
сжигать	сжечь
отжигать	отжечь
выжигать	выжечь
ложиться	лечь
залегать	залечь
налегать	налечь
подналегать	подналечь
приналегать	приналечь
облекать	облечь
облегать	облечь
завлекать	завлечь
навлекать	навлечь
развлекать	развлечь
извлекать	извлечь
привлекать	привлечь
вовлекать	вовлечь
совлекать	совлечь
отвлекать	отвлечь
увлекать	увлечь
подлегать	подлечь
возлегать	возлечь
прилегать	прилечь
полегать	полечь
пролегать	пролечь
слегать	слечь
отлегать	отлечь
запекать	запечь
напекать	напечь
впекать	впечь
подпекать	подпечь
перепекать	перепечь
припекать	припечь
допекать	допечь
недопекать	недопечь
пропекать	пропечь
распекать	распечь
отпекать	отпечь
упекать	упечь
выпекать	выпечь
нарекать	наречь
пренебрегать	пренебречь
обрекать	обречь
предрекать	предречь
заберегать	заберечь
приберегать	приберечь
оберегать	оберечь
сберегать	сберечь
уберегать	уберечь
подстерегать	подстеречь
остерегать	остеречь
предостерегать	предостеречь
устерегать	устеречь
изрекать	изречь
прорекать	проречь
засекать	засечь
засекать	засечь
насекать	насечь
обсекать	обсечь
надсекать	надсечь
подсекать	подсечь
пересекать	пересечь
пресекать	пресечь
осекать	осечь
просекать	просечь
ссекать	ссечь
рассекать	рассечь
иссекать	иссечь
отсекать	отсечь
усекать	усечь
высекать	высечь
затекать	затечь
натекать	натечь
обтекать	обтечь
втекать	втечь
подтекать	подтечь
перетекать	перетечь
притекать	притечь
отекать	отечь
дотекать	дотечь
протекать	протечь
стекать	стечь
истекать	истечь
истекать	истечь
проистекать	проистечь
оттекать	оттечь
утекать	утечь
вытекать	вытечь
застригать	застричь
настригать	настричь
обстригать	обстричь
подстригать	подстричь
перестригать	перестричь
остригать	остричь
достригать	достричь
постригать	постричь
простригать	простричь
состригать	состричь
расстригать	расстричь
отстригать	отстричь
выстригать	выстричь
застигать	застичь
настигать	настичь
пристигать	пристичь
достигать	достичь
постигать	постичь
заволакивать	заволочь
наволакивать	наволочь
наволакивать	наволочь
обволакивать	обволочь
вволакивать	вволочь
подволакивать	подволочь
переволакивать	переволочь
разволакивать	разволочь
взволакивать	взволочь
приволакивать	приволочь
доволакивать	доволочь
проволакивать	проволочь
сволакивать	сволочь
отволакивать	отволочь
уволакивать	уволочь
выволакивать	выволочь
занемогать	занемочь
изнемогать	изнемочь
перемогать	перемочь
превозмогать	превозмочь
помогать	помочь
запрягать	запрячь
перезапрягать	перезапрячь
напрягать	напрячь
перенапрягать	перенапрячь
впрягать	впрячь
подпрягать	подпрячь
перепрягать	перепрячь
припрягать	припрячь
сопрягать	сопрячь
спрягать	спрячь
распрягать	распрячь
отпрягать	отпрячь
упрягать	упрячь
выпрягать	выпрячь
расхлябываться	расхлябаться
перемежевываться	перемежеваться
размежевываться	размежеваться
отмежевываться	отмежеваться
вымежевываться	вымежеваться
разжевываться	разжеваться
прожевываться	прожеваться
зазевываться	зазеваться
размалевываться	размалеваться
облевываться	облеваться
выблевываться	выблеваться
зашпаклевываться	зашпаклеваться
расплевываться	расплеваться
отплевываться	отплеваться
довоевываться	довоеваться
зарубцовываться	зарубцеваться
вытанцовываться	вытанцеваться
затушевываться	затушеваться
стушевываться	стушеваться
называться	назваться
прозываться	прозваться
отзываться	отозваться
вызываться	вызваться
утрамбовываться	утрамбоваться
завербовываться	завербоваться
заинтриговываться	заинтриговаться
приторговываться	приторговаться
проторговываться	проторговаться
сторговываться	сторговаться
расторговываться	расторговаться
*	исповедоваться
отрекомендовываться	отрекомендоваться
*	образоваться
*	преобразоваться
*	сообразоваться
*	реализоваться
закристаллизовываться	закристаллизоваться
выкристаллизовываться	выкристаллизоваться
*	организоваться
*	реорганизоваться
переорганизовываться	переорганизоваться
*	дезорганизоваться
сорганизовываться	сорганизоваться
наэлектризовываться	наэлектризоваться
запаковываться	запаковаться
распаковываться	распаковаться
упаковываться	упаковаться
подковываться	подковаться
перековываться	перековаться
столковываться	столковаться
запарковываться	запарковаться
припарковываться	припарковаться
разворковываться	разворковаться
сковываться	сковаться
расковываться	расковаться
отковываться	отковаться
отпочковываться	отпочковаться
выковываться	выковаться
состыковываться	состыковаться
расстыковываться	расстыковаться
отстыковываться	отстыковаться
избаловываться	избаловаться
расцеловываться	расцеловаться
отформовываться	отформоваться
переэкзаменовываться	переэкзаменоваться
ознаменовываться	ознаменоваться
основываться	основаться
обосновываться	обосноваться
очаровываться	очароваться
разочаровываться	разочароваться
прикомандировываться	прикомандироваться
откомандировываться	откомандироваться
обмундировываться	обмундироваться
замаскировываться	замаскироваться
обмеблировываться	обмеблироваться
омеблировываться	омеблироваться
отполировываться	отполироваться
загримировываться	загримироваться
нагримировываться	нагримироваться
подгримировываться	подгримироваться
разгримировываться	разгримироваться
переформировываться	переформироваться
сформировываться	сформироваться
расформировываться	расформироваться
задрапировываться	задрапироваться
перегруппировываться	перегруппироваться
разгруппировываться	разгруппироваться
перебаллотировываться	перебаллотироваться
расквартировываться	расквартироваться
проворовываться	провороваться
профильтровываться	профильтроваться
замуровываться	замуроваться
зашнуровываться	зашнуроваться
перешнуровываться	перешнуроваться
расшнуровываться	расшнуроваться
стасовываться	стасоваться
заинтересовываться	заинтересоваться
обрисовываться	обрисоваться
изрисовываться	изрисоваться
прорисовываться	прорисоваться
вырисовываться	вырисоваться
запрессовываться	запрессоваться
спрессовываться	спрессоваться
законтрактовываться	законтрактоваться
укомплектовываться	укомплектоваться
доукомплектовываться	доукомплектоваться
забинтовываться	забинтоваться
перебинтовываться	перебинтоваться
разбинтовываться	разбинтоваться
зашвартовываться	зашвартоваться
пришвартовываться	пришвартоваться
отшвартовываться	отшвартоваться
наспиртовываться	наспиртоваться
проспиртовываться	проспиртоваться
напластовываться	напластоваться
отшлифовываться	отшлифоваться
застраховываться	застраховаться
подстраховываться	подстраховаться
перестраховываться	перестраховаться
зарываться	зарваться
нарываться	нарваться
перерываться	перерваться
прерываться	прерваться
обрываться	оборваться
врываться	ворваться
дорываться	дорваться
надрываться	надорваться
подрываться	подорваться
разрываться	разорваться
взрываться	взорваться
изрываться	изорваться
порываться	порваться
прорываться	прорваться
срываться	сорваться
отрываться	оторваться
урываться	урваться
вырываться	вырваться
замызгиваться	замызгаться
обмызгиваться	обмызгаться
измызгиваться	измызгаться
забрызгиваться	забрызгаться
разбрызгиваться	разбрызгаться
обрызгиваться	обрызгаться
задрызгиваться	задрызгаться
надрызгиваться	надрызгаться
сострагиваться	сострогаться
исстрагиваться	исстрогаться
издергиваться	издергаться
состругиваться	состругаться
исстругиваться	исстругаться
даваться	даться
догадываться	догадаться
задаваться	задаться
обдаваться	обдаться
вдаваться	вдаться
оправдываться	оправдаться
поддаваться	поддаться
наведываться	наведаться
переведываться	переведаться
разведываться	разведаться
доведываться	доведаться
исповедоваться	исповедаться
передаваться	передаться
предаваться	предаться
загваздываться	загваздаться
раздаваться	раздаться
воздаваться	воздаться
создаваться	создаться
воссоздаваться	воссоздаться
разнуздываться	разнуздаться
подаваться	податься
продаваться	продаться
запродаваться	запродаться
сдаваться	сдаться
засдаваться	засдаться
отдаваться	отдаться
удаваться	удаться
выдаваться	выдаться
зажиматься	зажаться
обжиматься	обжаться
обжинаться	обжаться
вжиматься	вжаться
поджиматься	поджаться
разбегаться	разбежаться
сбегаться	сбежаться
залеживаться	залежаться
облеживаться	облежаться
разлеживаться	разлежаться
долеживаться	долежаться
слеживаться	слежаться
отлеживаться	отлежаться
вылеживаться	вылежаться
разжиматься	разжаться
прижиматься	прижаться
пожиматься	пожаться
прожиматься	прожаться
задерживаться	задержаться
издерживаться	издержаться
воздерживаться	воздержаться
додерживаться	додержаться
сдерживаться	сдержаться
удерживаться	удержаться
выдерживаться	выдержаться
сжиматься	сжаться
отжиматься	отжаться
ужиматься	ужаться
выжиматься	выжаться
оказываться	оказаться
показываться	показаться
сказываться	сказаться
высказываться	высказаться
отказываться	отказаться
замазываться	замазаться
намазываться	намазаться
обмазываться	обмазаться
вмазываться	вмазаться
подмазываться	подмазаться
перемазываться	перемазаться
размазываться	размазаться
измазываться	измазаться
примазываться	примазаться
помазываться	помазаться
смазываться	смазаться
умазываться	умазаться
вымазываться	вымазаться
нарезаться	нарезаться
обрезаться	обрезаться
врезаться	врезаться
перерезаться	перерезаться
разрезаться	разрезаться
изрезаться	изрезаться
прорезаться	прорезаться
срезаться	срезаться
вырезаться	вырезаться
нализываться	нализаться
облизываться	облизаться
подлизываться	подлизаться
прилизываться	прилизаться
вылизываться	вылизаться
разнизываться	разнизаться
изнизываться	изнизаться
обязываться	обязаться
завязываться	завязаться
навязываться	навязаться
обвязываться	обвязаться
ввязываться	ввязаться
подвязываться	подвязаться
перевязываться	перевязаться
развязываться	развязаться
привязываться	привязаться
повязываться	повязаться
связываться	связаться
отвязываться	отвязаться
увязываться	увязаться
выплакиваться	выплакаться
вкарабкиваться	вкарабкаться
вскарабкиваться	вскарабкаться
выкарабкиваться	выкарабкаться
докликаться	докликаться
вталкиваться	втолкаться
проталкиваться	протолкаться
скомкиваться	скомкаться
отхаркиваться	отхаркаться
обшаркиваться	обшаркаться
расшаркиваться	расшаркаться
исшаркиваться	исшаркаться
затаскиваться	затаскаться
истаскиваться	истаскаться
наплескиваться	наплескаться
расплескиваться	расплескаться
выплескиваться	выплескаться
растрескиваться	растрескаться
приискиваться	приискаться
доискиваться	доискаться
втискиваться	втискаться
подтискиваться	подтискаться
притискиваться	притискаться
протискиваться	протискаться
оттискиваться	оттискаться
утискиваться	утискаться
выискиваться	выискаться
отполаскиваться	отполоскаться
разыскиваться	разыскаться
взыскиваться	взыскаться
изыскиваться	изыскаться
опрыскиваться	опрыскаться
сыскиваться	сыскаться
отыскиваться	отыскаться
размыкиваться	размыкаться
заделываться	заделаться
обделываться	обделаться
подделываться	подделаться
переделываться	переделаться
разделываться	разделаться
приделываться	приделаться
отделываться	отделаться
посылаться	послаться
ссылаться	сослаться
застилаться	застлаться
расстилаться	разостлаться
постилаться	постлаться
устилаться	устлаться
обламываться	обломаться
разламываться	разломаться
изламываться	изломаться
доламываться	доломаться
проламываться	проломаться
отламываться	отломаться
выламываться	выломаться
задумываться	задуматься
призадумываться	призадуматься
вдумываться	вдуматься
раздумываться	раздуматься
одумываться	одуматься
додумываться	додуматься
